				total cases	total_deaths	recovered	active
169	8	132	29				
173	8	132	33				
182	8	135	39				
182	8	135	39				
194	8	135	51				
199	8	135	56				
210	8	135	67				
225	8	135	82				
275	8	135	132				
279	8	138	133				
281	8	139	134				
295	8	139	148				
326	8	139	179				
404	8	139	257				
412	8	139	265				
474	10	140	324				
552	11	140	401				
552	11	140	401				
629	12	140	477				
686	12	140	534				
767	12	162	593				
864	12	165	687				
930	13	165	752				
1007	14	165	828				
1099	15	178	906				
1252	15	192	1045				
1411	15	192	1204				
1476	15	628	833				
1554	19	894	641				
1645	19	672	954				
1683	21	676	986				
1759	22	685	1052				
1797	27	691	1079				
1920	28	700	1192				
1984	29	707	1248				
2040	31	717	1292				
2230	33	724	1473				
2250	34	734	1482				
2277	37	743	1497				
2391	39	749	1603				
2588	39	755	1794				
2698	43	762	1893				
2825	50	766	2009				
2993	51	772	2170				
3042	53	787	2202				
3141	55	798	2288				
3223	56	810	2357				
3327	58	1469	1800				
3434	60	1586	1788				
3651	60	1695	1896				
3853	61	1753	2039				
3901	65	1802	2034				
3945	65	1871	2009				
4026	65	1960	2001				
4136	67	2047	2022				
4235	67	2122	2046				
4277	70	2185	2022				
4312	70	2234	2008				
4362	71	2275	2016				
4386	72	2454	1860				
4463	74	2560	1829				
4531	76	2629	1826				
4570	76	2729	1765				
4629	76	2802	1751				
4709	78	2843	1788				
4763	81	2884	1798				
4767	82	2951	1734				
4846	83	3010	1753				
4887	84	3076	1727				
4963	86	3150	1727				
5021	89	3221	1711				
5043	90	3221	1732				
5101	90	3303	1708				
5116	92	3367	1657				
5127	93	3452	1582				
5154	93	3502	1559				
5194	93	3545	1556				
5241	95	3584	1562				
5281	95	3652	1534				
5297	96	3696	1505				
5298	97	3758	1443				
5333	98	3822	1413				
5392	101	3876	1415				
5446	103	3945	1398				
5487	104	4018	1365				
5503	105	4085	1313				
5511	105	4126	1280				
5535	106	4186	1243				
5568	106	4246	1216				
5594	107	4293	1194				
5636	107	4455	1074				
5668	107	4610	951				
5668	107	4763	798				
